verse_id,doc_id,match,tokens,tfidf,proportion,runs_pval
John 9:4 (KJV),sn82015485/1917-06-21/ed-1/seq-2/,quotation,133,10.437760457545505,1.0075757575757576,3.2084098188311867e-35
1 Peter 5:11 (KJV),sn94060041/1894-03-03/ed-1/seq-1/,quotation,45,18.24400074369797,1.875,4.0297250115555646e-45
Luke 24:52 (KJV),sn86061215/1912-04-06/ed-1/seq-6/,quotation,13,5.694537472560576,0.5416666666666666,3.116162492763426e-5
Mark 3:25 (KJV),sn89081022/1908-06-24/ed-1/seq-4/,quotation,5,0.9967039820440087,0.10416666666666666,7.3531836635390585e-9
Luke 12:3 (KJV),sn85034235/1910-12-29/ed-1/seq-4/,quotation,146,8.799583833346997,0.8111111111111111,2.0314435084943153e-48
Luke 24:16 (KJV),sn87093353/1920-04-17/ed-1/seq-2/,noise,2,0.5338865619158357,0.05555555555555555,4.017382232940986e-6
Matthew 25:42 (KJV),sn84024283/1888-02-16/ed-1/seq-5/,noise,2,0.20219308946436182,0.020833333333333332,3.45470725108771e-7
Mark 10:24 (KJV),sn85042588/1889-03-29/ed-1/seq-2/,quotation,49,2.7872075138171466,0.27222222222222225,3.399151564688812e-9
James 5:15 (KJV),sn86069867/1899-12-10/ed-1/seq-4/,quotation,72,4.838751966323634,0.4615384615384615,6.246511005758388e-12
Ephesians 2:20 (KJV),sn83035487/1845-11-28/ed-1/seq-3/,quotation,69,7.597790851954205,0.71875,4.405423020845946e-50
Matthew 8:34 (KJV),sn97067613/1889-02-07/ed-1/seq-4/,quotation,25,1.841605820177085,0.1736111111111111,7.44768538962354e-5
Psalm 134:2 (KJV),sn93067846/1894-05-23/ed-1/seq-2/,noise,2,0.5675607732252976,0.05555555555555555,5.970324341338235e-32
John 14:2 (KJV),sn85025620/1888-03-22/ed-1/seq-3/,noise,6,0.46109096132555893,0.05,1.0970277417440153e-6
Matthew 20:28 (KJV),sn83045217/1921-12-19/ed-1/seq-7/,quotation,34,3.5022516975446507,0.35416666666666663,1.9369208711085133e-17
